mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_var_smoothing,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.0769574165344238,0.08269357546316143,0.24501800537109375,0.0074934607100500565,1.0,{'var_smoothing': 1.0},0.7798710676092764,0.7812528021218257,0.7815784381739841,0.7810970631403585,0.7806298461959574,0.7808858434482805,0.0005923283679020431,10
1.0207979202270507,0.009568938308294668,0.24168381690979004,0.0076333339394181144,0.1,{'var_smoothing': 0.1},0.8449743739794425,0.8457523372645628,0.8472766915377101,0.8451105038863955,0.8446810418465924,0.8455589897029407,0.0009275333291074194,9
1.0136152267456056,0.007786072978625798,0.24773621559143066,0.01196558484214067,0.01,{'var_smoothing': 0.01},0.8515436963764901,0.8519913352493947,0.8522273034031327,0.8512881501512556,0.8507359846715087,0.8515572939703564,0.0005262084617737149,7
1.011040496826172,0.00770232871167085,0.24813785552978515,0.00638885406404905,0.001,{'var_smoothing': 0.001},0.8589153067099587,0.8593299448306456,0.8594762450859632,0.8581878589665539,0.8578905390928441,0.8587599789371932,0.0006237422442501819,6
1.020093822479248,0.0005926624672976742,0.24158730506896972,0.0075904199518096035,0.0001,{'var_smoothing': 0.0001},0.8503025097454388,0.8499525704010986,0.8501602223763881,0.8505047358808455,0.8485131646632971,0.8498866406134136,0.0007100167319265122,8
1.014149808883667,0.0077078544020614094,0.24211106300354004,0.008605574851044708,1e-05,{'var_smoothing': 1e-05},0.870619271900101,0.8699532311119291,0.8702788671640875,0.8704629223240031,0.8693774688168084,0.8701383522633858,0.00044036060644402373,4
1.0196381092071534,0.010065615342895356,0.2415309429168701,0.007877782456478343,1e-06,{'var_smoothing': 1e-06},0.8738001076009703,0.8731388011873917,0.8736673698517649,0.8736107374948677,0.8726102325230187,0.8733654497316026,0.0004386278385838644,2
1.0177718639373778,0.012270454061446391,0.24456753730773925,0.007813850706387454,1e-07,{'var_smoothing': 1e-07},0.8737623528745505,0.8731529592766161,0.873780634565559,0.8736579311256153,0.8727282165998876,0.8734164188884458,0.00041320331555835447,1
1.1112233638763427,0.10417325531501845,0.25757584571838377,0.015561125444300305,1e-08,{'var_smoothing': 1e-08},0.872837362077265,0.8721666123939913,0.8727565327783362,0.8726904616952896,0.8717749052587863,0.8724451748407336,0.000409335701849509,3
1.0137868881225587,0.007445516335516798,0.2481318473815918,0.006262308566735897,1e-09,{'var_smoothing': 1e-09},0.8628370789168169,0.8619539107002119,0.8628836252259395,0.8627750798752201,0.8614583775773622,0.8623816144591101,0.0005743822004757244,5
